HexData,SrcIP,DstIP,SrcPort,DstPort,TEID,Label
4500002417c34000401100000a0a66f20a0a0f41086808680010000030ff0014000254f600000000,10.10.102.242,10.10.15.65,2152,2152,152822,1
45000024f1a24000401100000a0a84210a0a77b7086808680010000030ff00140004e95600000000,10.10.132.33,10.10.119.183,2152,2152,321878,1
45000024d3a24000401100000a0a6a4b0a0ad689086808680010000030ff0014000a5b4f00000000,10.10.106.75,10.10.214.137,2152,2152,678735,1
45000024c6e84000401100000a0a79cc0a0a5496086808680010000030ff00140005d9dc00000000,10.10.121.204,10.10.84.150,2152,2152,383452,1
45000024880f4000401100000a0a4b220a0aa6b4086808680010000030ff0014000ee5b400000000,10.10.75.34,10.10.166.180,2152,2152,976308,1
450000242de54000401100000a0a1c340a0a1cb9086808680010000030ff00140001c7d800000000,10.10.28.52,10.10.28.185,2152,2152,116696,1
450000243c774000401100000a0a37890a0adac8086808680010000030ff0014000591b600000000,10.10.55.137,10.10.218.200,2152,2152,364982,1
45000024ecda4000401100000a0a25480a0abddb086808680010000030ff0014000b911d00000000,10.10.37.72,10.10.189.219,2152,2152,758045,1
45000024f9b04000401100000a0aaea00a0a28a3086808680010000030ff001400086b4200000000,10.10.174.160,10.10.40.163,2152,2152,551746,1
45000024476b4000401100000a0a793f0a0a6343086808680010000030ff0014000f542700000000,10.10.121.63,10.10.99.67,2152,2152,1004583,1
4500002478f94000401100000a0affc80a0a1de4086808680010000030ff0014000eb55800000000,10.10.255.200,10.10.29.228,2152,2152,963928,1
4500002466034000401100000a0aca680a0af4a5086808680010000030ff001400027a2f00000000,10.10.202.104,10.10.244.165,2152,2152,162351,1
450000249ae44000401100000a0ad7230a0a418f086808680010000030ff00140006f59300000000,10.10.215.35,10.10.65.143,2152,2152,456083,1
4500002445284000401100000a0ac1d20a0a5790086808680010000030ff0014000daa4a00000000,10.10.193.210,10.10.87.144,2152,2152,895562,1
450000241a424000401100000a0aaa600a0a91f6086808680010000030ff0014000bb11100000000,10.10.170.96,10.10.145.246,2152,2152,766225,1
4500002476744000401100000a0a6e3d0a0a79fb086808680010000030ff00140000578100000000,10.10.110.61,10.10.121.251,2152,2152,22401,1
45000024080f4000401100000a0a16620a0abb6a086808680010000030ff0014000a472e00000000,10.10.22.98,10.10.187.106,2152,2152,673582,1
45000024fc084000401100000a0acd390a0a726b086808680010000030ff0014000fe87600000000,10.10.205.57,10.10.114.107,2152,2152,1042550,1
45000024e2bc4000401100000a0a494c0a0ad66f086808680010000030ff00140008f60100000000,10.10.73.76,10.10.214.111,2152,2152,587265,1
4500002402694000401100000a0aa7e70a0ae887086808680010000030ff0014000b488f00000000,10.10.167.231,10.10.232.135,2152,2152,739471,1
450000248eaf4000401100000a0a9a780a0a5cc2086808680010000030ff0014000b9d8a00000000,10.10.154.120,10.10.92.194,2152,2152,761226,1
450000240ae94000401100000a0a8c110a0af3ae086808680010000030ff00140008151c00000000,10.10.140.17,10.10.243.174,2152,2152,529692,1
45000024589a4000401100000a0acc840a0a303a086808680010000030ff00140003967b00000000,10.10.204.132,10.10.48.58,2152,2152,235131,1
450000249e754000401100000a0ab9e40a0ae1de086808680010000030ff00140006071000000000,10.10.185.228,10.10.225.222,2152,2152,395024,1
4500002411b04000401100000a0af3e10a0a836e086808680010000030ff001400090cf300000000,10.10.243.225,10.10.131.110,2152,2152,593139,1
45000024d7cb4000401100000a0a9ced0a0a2610086808680010000030ff00140003c10b00000000,10.10.156.237,10.10.38.16,2152,2152,246027,1
450000246c1f4000401100000a0a1d3f0a0a4a87086808680010000030ff0014000829ce00000000,10.10.29.63,10.10.74.135,2152,2152,534990,1
4500002467254000401100000a0a41dc0a0a7d15086808680010000030ff00140000bea600000000,10.10.65.220,10.10.125.21,2152,2152,48806,1
45000024caf74000401100000a0a5c3d0a0a6531086808680010000030ff00140006623f00000000,10.10.92.61,10.10.101.49,2152,2152,418367,1
45000024d2e34000401100000a0aa27b0a0a90fe086808680010000030ff00140004a00100000000,10.10.162.123,10.10.144.254,2152,2152,303105,1
45000024a0414000401100000a0a420e0a0af6c9086808680010000030ff00140009cfff00000000,10.10.66.14,10.10.246.201,2152,2152,643071,1
45000024cd264000401100000a0ae3fd0a0a9ef2086808680010000030ff0014000d71eb00000000,10.10.227.253,10.10.158.242,2152,2152,881131,1
45000024529b4000401100000a0a13ec0a0a158b086808680010000030ff001400016f3400000000,10.10.19.236,10.10.21.139,2152,2152,94004,1
4500002439a34000401100000a0a91010a0a1ae3086808680010000030ff0014000a6cfc00000000,10.10.145.1,10.10.26.227,2152,2152,683260,1
4500002430f94000401100000a0aaf0c0a0a7b17086808680010000030ff00140006782800000000,10.10.175.12,10.10.123.23,2152,2152,423976,1
45000024c8db4000401100000a0a7e370a0a42bb086808680010000030ff00140006c94800000000,10.10.126.55,10.10.66.187,2152,2152,444744,1
4500002434214000401100000a0a62760a0a0b3f086808680010000030ff0014000940f100000000,10.10.98.118,10.10.11.63,2152,2152,606449,1
